                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  2.422,                 1.5443,                 1.2764,                 0.7257,                0.54251,                0.61787,                0.26337,                 2.1586,                 1.2924,                 1.1874,              0.0003368,              0.0003368,              0.0003368
                     65,                 2.3589,                 1.5179,                 1.2138,                0.66674,                 0.5587,                0.63687,                0.26424,                 2.1534,                 1.2881,                 1.1758,              0.0003104,              0.0003104,              0.0003104
                     66,                 2.4058,                 1.5707,                 1.2454,                0.68529,                0.59514,                0.66856,                0.27531,                 2.1448,                  1.287,                  1.174,               0.000284,               0.000284,               0.000284
                     67,                 2.5039,                 1.5624,                  1.211,                 0.6819,                0.57085,                0.66613,                0.28345,                 2.1063,                 1.2736,                 1.1653,              0.0002576,              0.0002576,              0.0002576
                     68,                 2.3191,                 1.4699,                 1.2198,                0.86057,                0.49976,                0.67082,                0.28555,                 2.0803,                 1.2728,                 1.1585,              0.0002312,              0.0002312,              0.0002312
                     69,                 2.3711,                 1.5146,                 1.2128,                0.86944,                0.51417,                0.67077,                0.29349,                 2.0633,                 1.2591,                 1.1568,              0.0002048,              0.0002048,              0.0002048
                     70,                 2.3798,                 1.5385,                 1.2232,                0.83413,                0.51012,                0.67543,                0.29239,                 2.0611,                 1.2339,                 1.1558,              0.0001784,              0.0001784,              0.0001784
                     71,                 2.3703,                 1.4999,                 1.2132,                0.84538,                 0.5091,                0.66435,                0.29441,                 2.0651,                 1.2205,                 1.1548,               0.000152,               0.000152,               0.000152
                     72,                 2.4424,                 1.5363,                 1.2456,                0.82623,                0.51975,                0.67002,                0.29502,                 2.0619,                 1.2218,                 1.1537,              0.0001256,              0.0001256,              0.0001256
                     73,                  2.366,                 1.4871,                 1.2678,                0.75273,                 0.5587,                 0.6649,                0.29937,                 2.0454,                 1.2161,                  1.153,               9.92e-05,               9.92e-05,               9.92e-05
                     74,                 2.3114,                 1.4427,                  1.179,                0.74619,                0.56275,                0.66516,                0.29817,                 2.0436,                 1.2179,                 1.1536,               7.28e-05,               7.28e-05,               7.28e-05
