                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.5585,                 1.7309,                 1.2409,                0.69305,                0.48178,                0.54874,                0.21271,                  2.273,                 1.6112,                 1.2202,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.5013,                 1.6412,                 1.2749,                0.67783,                0.51822,                0.56765,                0.21995,                 2.2662,                 1.4522,                 1.2079,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.5237,                 1.6144,                 1.2778,                0.69118,                0.51417,                0.58187,                0.22397,                 2.2605,                 1.4008,                 1.2076,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.5409,                 1.6964,                 1.2736,                0.73574,                0.46559,                0.56719,                0.22701,                 2.2352,                 1.5094,                 1.2036,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.4243,                  1.598,                  1.258,                0.74744,                0.45749,                0.55034,                0.21823,                 2.2786,                  1.436,                 1.2238,               0.000812,               0.000812,               0.000812
                     62,                 2.4471,                 1.5569,                 1.2482,                0.69786,                0.47368,                0.57407,                0.23855,                 2.2273,                 1.3426,                 1.2071,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.3468,                 1.5024,                 1.2339,                0.73777,                0.51259,                0.60551,                0.24975,                 2.1984,                 1.3161,                 1.1995,              0.0007724,              0.0007724,              0.0007724
                     64,                  2.427,                 1.5114,                 1.2759,                0.77962,                0.51012,                0.60667,                0.24604,                 2.2637,                 1.3294,                  1.217,              0.0007526,              0.0007526,              0.0007526
                     65,                  2.412,                 1.5369,                 1.2306,                0.79486,                0.50607,                0.62596,                0.25208,                 2.2077,                 1.3827,                 1.1779,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.4522,                 1.5767,                 1.2487,                0.72023,                0.51012,                 0.6141,                0.25589,                 2.1716,                 1.3834,                 1.1831,               0.000713,               0.000713,               0.000713
                     67,                  2.567,                 1.5542,                 1.2279,                0.66361,                0.51417,                0.61168,                0.25152,                 2.1524,                 1.3291,                 1.1839,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.3833,                 1.4686,                  1.233,                0.68837,                 0.5587,                0.60847,                0.24051,                 2.1795,                 1.3139,                 1.1905,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.3791,                 1.4879,                  1.218,                0.66816,                 0.5587,                0.60665,                 0.2301,                 2.2412,                 1.3234,                 1.2094,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.3846,                 1.5042,                 1.2348,                0.75402,                0.54656,                0.63286,                 0.2558,                 2.1745,                 1.2973,                 1.1859,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.3368,                 1.4449,                 1.1925,                0.76473,                0.57895,                0.65163,                0.27181,                  2.149,                 1.2653,                 1.1765,               0.000614,               0.000614,               0.000614
                     72,                 2.4282,                 1.5015,                  1.232,                0.78743,                 0.5587,                0.68079,                0.26269,                 2.1623,                  1.311,                 1.1854,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.3459,                 1.4878,                  1.276,                0.69972,                 0.5587,                0.65809,                0.26716,                 2.1626,                 1.2733,                 1.1904,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.3064,                 1.4297,                 1.1881,                0.70468,                0.54099,                0.63937,                0.27296,                 2.1294,                 1.2849,                 1.1709,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.2992,                 1.3954,                 1.2147,                0.67059,                 0.5749,                0.63338,                0.23939,                   2.25,                 1.2914,                 1.1978,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.3373,                 1.4909,                  1.185,                0.72642,                0.59109,                0.64734,                0.26484,                 2.1592,                 1.2707,                 1.1792,               0.000515,               0.000515,               0.000515
                     77,                 2.2816,                  1.412,                 1.1947,                0.73846,                0.57156,                0.65933,                0.27277,                 2.0845,                 1.2581,                 1.1545,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.3206,                 1.4113,                 1.1977,                0.74486,                  0.583,                0.66681,                0.27923,                 2.0817,                 1.2319,                 1.1525,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.2103,                   1.39,                  1.176,                0.74079,                0.59919,                0.66998,                0.29643,                 2.0352,                 1.2001,                 1.1379,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.2827,                 1.3855,                 1.1445,                0.68904,                0.61004,                 0.6746,                 0.2767,                 2.0607,                 1.1964,                 1.1413,              0.0004358,              0.0004358,              0.0004358
                     81,                  2.254,                 1.3603,                 1.1539,                  0.752,                0.58927,                0.67562,                0.25114,                 2.1917,                 1.2408,                 1.1695,               0.000416,               0.000416,               0.000416
                     82,                  2.345,                 1.4948,                  1.202,                0.72131,                0.61134,                0.69008,                 0.2841,                 2.0636,                 1.1967,                 1.1465,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.2255,                 1.3077,                  1.177,                0.71745,                0.63158,                0.69442,                0.28493,                 2.0614,                 1.1721,                 1.1539,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.3142,                 1.3584,                 1.1691,                0.70045,                 0.5775,                0.67933,                0.27629,                 2.0882,                 1.2037,                 1.1586,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.3373,                 1.3315,                 1.2286,                 0.7696,                0.56798,                0.69284,                0.30355,                  2.005,                 1.1543,                 1.1339,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.3088,                 1.3798,                 1.1803,                0.81454,                0.59514,                0.71341,                 0.3224,                 1.9661,                  1.165,                 1.1231,               0.000317,               0.000317,               0.000317
                     87,                  2.154,                 1.3372,                 1.1465,                0.80252,                0.59229,                0.70098,                0.31818,                 1.9784,                 1.1746,                  1.123,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.2543,                  1.394,                 1.1842,                 0.8122,                0.61283,                0.71381,                0.31747,                 1.9705,                 1.1573,                 1.1219,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.2454,                 1.3268,                  1.177,                  0.794,                0.61943,                0.72635,                0.31316,                 1.9891,                  1.144,                 1.1263,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.2698,                 1.3489,                 1.1552,                0.79278,                0.62348,                 0.7248,                0.32133,                 1.9684,                 1.1212,                 1.1259,              0.0002378,              0.0002378,              0.0002378
                     91,                  2.216,                 1.3337,                 1.1873,                0.77246,                0.63563,                0.71329,                0.33078,                 1.9402,                 1.1065,                 1.1188,               0.000218,               0.000218,               0.000218
                     92,                 2.2588,                 1.3409,                 1.1724,                0.79321,                0.62753,                0.71542,                0.33379,                 1.9254,                 1.0999,                 1.1142,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.2506,                  1.443,                 1.1458,                0.81936,                0.62753,                0.73054,                 0.3323,                 1.9281,                 1.1016,                 1.1149,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.1468,                 1.3137,                  1.159,                0.80406,                0.65587,                0.74391,                0.33642,                 1.9266,                 1.1004,                 1.1159,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.1528,                 1.3448,                 1.1434,                 0.8316,                0.63976,                0.74373,                0.34059,                 1.9158,                 1.0912,                 1.1174,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.1664,                 1.2848,                 1.1659,                0.79958,                0.62995,                0.74312,                0.33711,                 1.9263,                 1.0951,                 1.1186,               0.000119,               0.000119,               0.000119
                     97,                 2.0862,                 1.3015,                 1.1634,                0.75616,                0.64032,                0.72317,                0.33014,                 1.9535,                 1.1021,                 1.1223,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.1708,                 1.2931,                 1.1966,                0.76072,                0.64356,                0.72509,                 0.3286,                 1.9612,                  1.104,                 1.1229,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.1729,                 1.3219,                 1.1986,                0.77105,                0.65448,                0.73602,                0.33394,                 1.9507,                 1.1036,                 1.1207,               5.96e-05,               5.96e-05,               5.96e-05
